SurfaceLongitude,SurfaceLatitude,BottomHoleLongitude,BottomHoleLatitude,Operator,CompletionDate,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month,rowID,CumOil_Category
-102.2874787,31.69536685,-102.2874141,31.69524804,COP,9/4/2017,WOLFCAMP A,10250.0,2519.0,60.0,361.176,361.176,307.906,307.906,6711.088,,25014.12,0.061,4267.142,0.478,0.005,3.4098,0.183,0.22,0.884,6.9579,393279.625,3120,High
-101.0897539,31.1527604,-101.0915058,31.17638718,ENDVR,3/22/2019,WOLFCAMP B,10287.0,1611.0,42.0,134.599,134.599,14.711,14.711,6826.461,281.726,27292.979,0.057,4458.7309,0.493,0.007,2.6964,0.167,0.303,0.979,5.9286,166217.4844,3743,Low
-101.7737869,32.55867333,-101.7739155,32.55866746,OVV,8/9/2017,WOLFCAMP A,9626.0,2089.0,40.0,605.109,845.598,16.829,3.291,4901.63,,27937.847,0.057,2667.478,0.197,0.018,2.5478,0.197,0.204,0.883,5.0237,218583.5938,3014,Medium
-101.7535879,31.69973985,-101.7535879,31.69973985,CPE,3/31/2018,WOLFCAMP A,10107.0,2514.0,69.0,676.104,676.104,6.694,6.694,5381.55,,18580.255,0.057,2697.8528,0.283,0.017,2.6654,0.205,0.23,0.769,5.9051,213795.93,5918,Medium
-101.5229153,32.87871386,-101.5229153,32.87871386,SM,10/17/2018,DEAN,10445.0,1853.0,53.0,92.085,92.085,289.376,116.436,5217.899,,11555.572,0.047,2596.9904,0.545,,2.3838,0.2,0.147,0.917,5.6525,225979.9531,200,Medium
-101.6008785,32.13680032,-101.6008785,32.13680032,OVV,2/27/2019,WOLFCAMP B,9188.0,2032.0,48.0,8.302,267.211,290.371,293.059,6816.802,419.014,19231.797,0.034,4406.608,0.248,0.012,1.8819,0.126,0.464,0.959,5.1855,237599.9688,1012,Medium
-101.5103775,31.86976935,-101.510432,31.86997751,COP,4/19/2018,WOLFCAMP B,9411.0,1987.0,53.0,321.269,536.14,170.704,321.655,6577.763,302.111,17569.5415,0.05,3345.2624,0.403,0.017,2.4871,0.183,0.239,0.949,5.7459,218443.1875,3329,Medium
-102.2150781,31.62867622,-102.2150781,31.62911492,FANG,4/1/2015,WOLFCAMP A,4427.0,1272.0,30.0,49.998,49.998,284.909,284.909,5071.08,,19991.208,0.059,3068.3314,0.409,0.01,2.7325,0.221,0.261,0.856,2.5778,26953.2344,5019,Low
-101.4893838,30.76926163,-101.4893838,30.76926163,FANG,9/10/2017,SPRABERRY LOWER SHALE,10468.0,,37.0,280.185,491.139,219.276,365.736,6257.5,,32002.346,0.06,2995.7948,0.337,0.012,2.5396,0.239,0.129,0.791,5.4717,247884.22,292,High
-101.3062862,32.55861454,-101.3062687,32.55855709,TRACKER,1/3/2018,WOLFCAMP B,10141.0,2609.0,57.0,571.515,571.515,130.808,130.808,4040.738,580.634,28957.073,0.072,2650.0117,0.485,0.017,3.7028,0.202,0.198,0.937,8.126,66584.0859,166,Low
